Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,FL_22_DO,DV1,DV2,DV1_avg,DV2_avg,,,,
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat negative,Somewhat positive,Somewhat,FL_24,2,3,Low,High,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Strongly agree,The United States,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Mostly,FL_23,4,3,High,High,,,,
0.899999976,Female,Black or African American,High school diploma or GED,Conservative,Somewhat disagree,Strongly agree,Strongly agree,Canada,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23,5,1,High,Low,,,,
0.5,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Strongly agree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Slightly,FL_23,5,2,High,Low,,,,
0.5,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Strongly agree,Strongly disagree,Neither,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Neither positive nor negative,Not at all,FL_23,3,2,High,Low,,,,
1,Female,Black or African American,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat positive,Somewhat positive,Somewhat,FL_23,4,2,High,Low,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Mostly,FL_23,3,3,High,High,,,,
0.899999976,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Neither agree nor disagree,Strongly disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
1,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,FL_24,3,3,High,Low,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Somewhat agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23,5,2,High,Low,,,,
1,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23,3,3,High,Low,,,,
0.800000012,Non-binary / third gender,Black or African American,Bachelor’s degree,Very liberal,Somewhat agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Mostly,FL_23,3,4,High,High,,,,
1,Female,White or Caucasian,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Somewhat disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_24,5,1,High,Low,,,,
0.100000001,Male,White or Caucasian,High school diploma or GED,Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat negative,Neither positive nor negative,Mostly,FL_24,2,4,Low,High,,,,
0.899999976,Female,White or Caucasian,High school diploma or GED,Conservative,Somewhat disagree,Neither agree nor disagree,Strongly disagree,The United States,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_24,4,2,High,Low,,,,
1,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Extremely positive,Somewhat positive,Extremely,FL_24,3,4,High,High,,,,
0.200000003,Male,White or Caucasian,High school diploma or GED,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_24,5,1,High,Low,,,,
1,Male,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Somewhat agree,Strongly disagree,Canada,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Neither positive nor negative,Not at all,FL_23,4,2,High,Low,,,,
0.800000012,Female,Black or African American,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Extremely positive,Somewhat negative,Slightly,FL_23,4,2,High,Low,,,,
1,Male,White or Caucasian,Bachelor’s degree,Liberal,Somewhat agree,Neither agree nor disagree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_23,5,1,High,Low,,,,
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Strongly agree,Strongly agree,Strongly disagree,Canada,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_24,4,2,High,Low,,,,
0.899999976,Male,White or Caucasian,High school diploma or GED,Conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat negative,Somewhat positive,Mostly,FL_23,2,4,Low,High,,,,
0.899999976,Female,White or Caucasian,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23,5,2,High,Low,,,,
0.899999976,Male,Other,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,FL_24,5,1,High,Low,,,,
1,Female,White or Caucasian,Bachelor’s degree,Moderate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Canada,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat positive,Extremely negative,Not at all,FL_24,4,2,High,Low,,,,
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,The United States,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Extremely positive,Neither positive nor negative,Mostly,FL_23,3,3,High,High,,,,
1,Male,White or Caucasian,Bachelor’s degree,Very liberal,Somewhat agree,Somewhat disagree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,FL_24,5,1,High,Low,,,,
